"c1","condition","Hum+","1","0"
"c2,c3","condition","Cig+,For+","1,1","0,0"
"c4","condition","Roa+","1","0"
"c5","condition","Fir-","1","0"
"c6","condition","Fir-","1","0"
"c7","condition","For-","1","0"
"c8","condition","Cig+","1","0"
"c9,c10","condition","Roa+,Fir+","1,1","0,0"
"c11","condition","Fir+","1","0"
"c12","condition","Roa+","1","0"
"c13","condition","Roa-","1","0"
"c14","condition","For-","1","0"
"c15","condition","Fir-","1","0"
"c16","condition","For-","1","0"
"c17","condition","Hum-","1","0"
"c18","condition","Roa-","1","0"
"c19","condition","For-","1","0"
"c20","condition","Fir+","1","0"
"c21","condition","Roa+","1","0"
"c22,c23,c24","condition","For-,Hum-,Fir-","1,1,1","0,0,0"
"c25,c26","condition","For-,Roa-","1,1","0,0"
"c27,c28,c29","condition","Fir+,Hum-,Roa+","1,1,1","0,0,0"
"c30,c31","condition","Roa-,Fir-","1,1","0,0"
"c32","condition","Roa-","1","0"
"c33","condition","For-","1","0"
"c34,c35","condition","Roa-,Fir-","1,1","0,0"
"e1","event","R1","0"
"e2","event","R3","0"
"e3","event","R3","0"
"e4","event","R4","0"
"e5","event","R6","0"
"e6","event","R4","0"
"e7","event","R3","0"
"e8","event","R6","0"
"e9","event","R4","0"
"e10","event","R2","1"
"e11","event","R2","1"
"e12","event","R7","1"
"e13","event","R4","1"
